gene,mean_score,max_score,n_links,is_deg,is_metabolic,is_trained,category
SLC25A33_distal,0.0846869565217392,0.5438,138,FALSE,FALSE,FALSE,Background
AL928921.1_distal,0.2422,0.2422,1,FALSE,FALSE,FALSE,Background
TMEM201_distal,0.0892159090909091,0.5716,88,FALSE,FALSE,FALSE,Background
PIK3CD_distal,-0.0215160305343511,0.6,262,FALSE,FALSE,FALSE,Background
SLC25A33,0.0851690909090909,0.601,55,FALSE,FALSE,FALSE,Background
PIK3CD_distal;PIK3CD-AS1_distal,-0.0657809523809524,0.4566,42,FALSE,FALSE,FALSE,Background
PIK3CD-AS2_distal;PIK3CD_distal,-0.122488235294118,0.4891,34,FALSE,FALSE,FALSE,Background
CLSTN1_distal;PIK3CD_distal,-0.00573378378378378,0.639,74,FALSE,FALSE,FALSE,Background
CLSTN1_distal,-0.02648125,0.3497,16,FALSE,FALSE,FALSE,Background
CLSTN1,-0.170308928571429,0.3839,56,FALSE,FALSE,FALSE,Background
CTNNBIP1,0.181147222222222,0.5595,36,TRUE,FALSE,FALSE,Other DEG
CTNNBIP1_distal;AL357140.4,0.10249756097561,0.6371,41,FALSE,FALSE,FALSE,Background
CTNNBIP1_distal;AL357140.1_distal,-0.163090476190476,0.5407,21,FALSE,FALSE,FALSE,Background
RBP7_distal,0.114644117647059,0.5891,34,FALSE,FALSE,FALSE,Background
PIK3CD_distal;PIK3CD-AS1,-0.102615,0.3067,20,FALSE,FALSE,FALSE,Background
RBP7,0.207946428571429,0.5135,28,TRUE,FALSE,FALSE,Other DEG
UBE4B_distal,0.133781415929204,0.55,113,FALSE,FALSE,FALSE,Background
KIF1B_distal;UBE4B_distal,0.123240909090909,0.5964,44,FALSE,FALSE,FALSE,Background
KIF1B_distal,0.0156396825396826,0.631,63,FALSE,FALSE,FALSE,Background
KIF1B,0.0120863636363637,0.6808,44,TRUE,FALSE,FALSE,Other DEG
CTNNBIP1_distal,0.06946,0.6108,15,FALSE,FALSE,FALSE,Background
KIF1B_distal;AL139424.3_distal,-0.000850000000000014,0.5691,80,FALSE,FALSE,FALSE,Background
AL139424.3,-0.137237931034483,0.5514,29,FALSE,FALSE,FALSE,Background
PGD_distal;CENPS_distal,-0.216126470588235,0.4995,34,FALSE,FALSE,FALSE,Background
PGD_distal,-0.146919047619048,0.5059,21,FALSE,FALSE,FALSE,Background
CENPS;AL139424.1,0.161927272727273,0.3252,11,FALSE,FALSE,FALSE,Background
NMNAT1_distal,-0.03955,0.1861,2,FALSE,FALSE,FALSE,Background
PEX14_distal,0.2155625,0.7085,48,FALSE,FALSE,FALSE,Background
AL139423.1_distal;CASZ1_distal,0.1828375,0.2997,8,FALSE,FALSE,FALSE,Background
C1orf127_distal,0.0243833333333333,0.5826,102,FALSE,FALSE,FALSE,Background
DFFA,0.1537,0.3091,17,FALSE,FALSE,FALSE,Background
CASZ1_distal,-0.0220633333333333,0.4038,30,FALSE,FALSE,FALSE,Background
MASP2_distal,0.116846666666667,0.3845,15,FALSE,FALSE,FALSE,Background
UBIAD1_distal,-0.172723076923077,0.3349,26,FALSE,FALSE,FALSE,Background
DISP3_distal,-0.106111764705882,0.3579,17,FALSE,FALSE,FALSE,Background
FBXO2;FBXO44,-0.147982352941176,0.3794,51,FALSE,FALSE,FALSE,Background
AL031291.1,0.229,0.3163,4,FALSE,FALSE,FALSE,Background
AL031291.1_distal,0.038571875,0.5855,32,FALSE,FALSE,FALSE,Background
DRAXIN;MAD2L2,-0.0147666666666667,0.3805,36,FALSE,FALSE,FALSE,Background
DISP3,-0.094819512195122,0.3492,41,FALSE,FALSE,FALSE,Background
MAD2L2,-0.116802222222222,0.3893,45,FALSE,FALSE,FALSE,Background
DRAXIN_distal;AGTRAP_distal,0.140676470588235,0.4656,34,FALSE,FALSE,FALSE,Background
SRM,-0.0999125,0.2517,16,FALSE,FALSE,FALSE,Background
EXOSC10;EXOSC10-AS1,-0.3144,-0.283,3,FALSE,FALSE,FALSE,Background
FBXO2_distal;FBXO44_distal,-0.0327491525423729,0.5304,59,FALSE,FALSE,FALSE,Background
AGTRAP_distal,0.124590588235294,0.6553,85,FALSE,FALSE,FALSE,Background
MTHFR_distal,0.0665425,0.7495,80,FALSE,FALSE,FALSE,Background
TARDBP,-0.2312,-0.2312,1,FALSE,FALSE,FALSE,Background
CLCN6_distal;MTHFR_distal,0.0340222222222222,0.4602,36,FALSE,FALSE,FALSE,Background
NPPA_distal;CLCN6_distal,0.101381578947368,0.5405,38,FALSE,FALSE,FALSE,Background
NPPA_distal,0.0999967741935484,0.5212,31,FALSE,FALSE,FALSE,Background
DRAXIN_distal,0.175252380952381,0.5631,21,FALSE,FALSE,FALSE,Background
AL021155.5_distal,-0.00495312500000002,0.5123,32,FALSE,FALSE,FALSE,Background
MTHFR_distal;CLCN6_distal,0.105080952380952,0.3948,21,FALSE,FALSE,FALSE,Background
AL021155.5,-0.0394025,0.4245,40,FALSE,FALSE,FALSE,Background
PLOD1_distal;AL096840.2_distal,0.0684977272727273,0.6718,44,FALSE,FALSE,FALSE,Background
FBXO6_distal,0.103275,0.231,4,FALSE,FALSE,FALSE,Background
MFN2_distal,-0.0061825,0.6458,40,FALSE,FALSE,FALSE,Background
AL096840.2_distal,0.144621428571429,0.4074,14,FALSE,FALSE,FALSE,Background
CLCN6;MTHFR_distal,-0.260818181818182,0.2196,11,FALSE,FALSE,FALSE,Background
NPPB_distal,0.2688,0.2688,1,FALSE,FALSE,FALSE,Background
MIIP_distal,-0.0467368421052632,0.7475,19,FALSE,FALSE,FALSE,Background
TNFRSF8_distal;AL357835.1_distal,-0.0437297297297297,0.4062,37,FALSE,FALSE,FALSE,Background
TNFRSF8_distal,0.0566720930232558,0.6631,86,FALSE,FALSE,FALSE,Background
TNFRSF1B_distal,-0.0115953191489362,0.762,235,FALSE,FALSE,FALSE,Background
PLOD1_distal,0.378381818181818,0.6059,11,FALSE,FALSE,FALSE,Background
TNFRSF1B_distal;VPS13D_distal,0.190341666666667,0.4823,12,FALSE,FALSE,FALSE,Background
VPS13D,-0.07868,0.2578,5,FALSE,FALSE,FALSE,Background
VPS13D_distal,0.133270535714286,0.6132,112,FALSE,FALSE,FALSE,Background
VPS13D_distal;LINC02766_distal,0.19145,0.5547,6,FALSE,FALSE,FALSE,Background
DHRS3_distal,0.1507,0.4848,17,FALSE,FALSE,FALSE,Background
DHRS3,0.04425,0.5534,8,FALSE,FALSE,FALSE,Background
PDPN_distal,-0.0087,0.4614,5,FALSE,FALSE,FALSE,Background
AL359771.1_distal,0.281161538461539,0.7265,26,FALSE,FALSE,FALSE,Background
PRDM2,0.344625,0.5631,8,FALSE,FALSE,FALSE,Background
PRDM2_distal,0.218507692307692,0.7014,13,FALSE,FALSE,FALSE,Background
TMEM51-AS1_distal,0.231,0.4959,153,FALSE,FALSE,FALSE,Background
KAZN,0.209483333333333,0.3367,18,FALSE,FALSE,FALSE,Background
TMEM51-AS1;TMEM51,0.21410243902439,0.5232,41,FALSE,FALSE,FALSE,Background
TMEM51,0.225154430379747,0.562,79,FALSE,FALSE,FALSE,Background
TMEM51_distal;C1orf195_distal,0.158745833333333,0.3912,24,FALSE,FALSE,FALSE,Background
TMEM51-AS1_distal;KAZN_distal,0.327240350877193,0.7547,57,FALSE,FALSE,FALSE,Background
