p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type
9.03665198926126e-34,-0.435450804576021,0.09,0.17,2.0281861724698e-29,NAPRT,B_cell
9.47117806424331e-34,-1.09369855628135,0.054,0.117,2.12571120473877e-29,CWC25,B_cell
1.02436410592975e-33,-0.66099405916825,0.12,0.204,2.29908279934873e-29,STAT6,B_cell
1.05432957223378e-33,0.563999795458759,0.561,0.553,2.36633729192149e-29,TBCA,B_cell
1.07877774714326e-33,-0.933045012807255,0.05,0.112,2.42120877568833e-29,PFKP,B_cell
1.10953874713287e-33,-0.453255529858996,0.12,0.204,2.49024876406501e-29,DCTN2,B_cell
1.19647417092247e-33,-0.300045814514669,0.262,0.384,2.68536662921839e-29,SYF2,B_cell
1.26270632585785e-33,-0.453217773082833,0.108,0.19,2.83401807775536e-29,PSMC1,B_cell
1.32040509990107e-33,-0.229884697652924,0.235,0.352,2.96351720621797e-29,ISG20,B_cell
1.33962808366839e-33,-0.976184687262265,0.062,0.127,3.00666127098534e-29,FRYL,B_cell
1.35587561347427e-33,-0.78683966593439,0.06,0.126,3.04312722688164e-29,MAN1A2,B_cell
1.57621179851857e-33,-0.51459693886733,0.105,0.184,3.53764976059507e-29,UBA2,B_cell
1.8987287588513e-33,-0.825857149389331,0.065,0.131,4.26150682636585e-29,DAZAP1,B_cell
1.93138030026068e-33,-0.474804914918887,0.171,0.27,4.33478994590506e-29,TGOLN2,B_cell
2.21076994833047e-33,-1.07067089837543,0.043,0.101,4.96185207203292e-29,FXN,B_cell
2.21423328320908e-33,-0.690734888559348,0.068,0.136,4.96962518083445e-29,TSSC4,B_cell
2.27323165247224e-33,-0.902366037772208,0.055,0.117,5.10204112080869e-29,NFKB1,B_cell
2.49922253103107e-33,-1.17353920048622,0.054,0.117,5.60925504864614e-29,MPP1,B_cell
2.65139458461551e-33,-0.152774607883078,0.491,0.647,5.95079000571105e-29,SSR4,B_cell
2.96783981982243e-33,-0.294703056318972,0.361,0.495,6.66101969160945e-29,EIF4B,B_cell
3.28009018858834e-33,-0.613301179837808,0.055,0.119,7.36183441926767e-29,RNPEP,B_cell
3.33654526132662e-33,-0.801635577535304,0.076,0.145,7.48854218452146e-29,RB1CC1,B_cell
3.70870073575691e-33,-0.295429993383868,0.244,0.362,8.32380793133281e-29,RBMX,B_cell
3.72290279302639e-33,-0.442918231327712,0.114,0.197,8.35568302866842e-29,IAH1,B_cell
4.51187930473992e-33,-0.904068316738367,0.043,0.101,1.01264619115583e-28,ATF5,B_cell
4.71582551910466e-33,-0.533022327156287,0.098,0.175,1.05841987950785e-28,BCL7B,B_cell
5.16693729097819e-33,-0.419484586145306,0.132,0.22,1.15966740558714e-28,PCGF5,B_cell
5.32522161828638e-33,-0.5736416000227,0.083,0.156,1.19519274000819e-28,KARS,B_cell
5.50313433379562e-33,-0.933092567161801,0.09,0.163,1.23512346987709e-28,INPP5D,B_cell
5.52628929705925e-33,-1.01863102579759,0.066,0.131,1.24032036983198e-28,SAMD9,B_cell
6.22192453652052e-33,-0.684128462757221,0.078,0.148,1.39644874297667e-28,HPRT1,B_cell
6.82726394444207e-33,-0.73350049120554,0.102,0.178,1.53231111969058e-28,TTC17,B_cell
7.04295506309548e-33,-1.05522569093937,0.053,0.114,1.58072083436115e-28,MAML2,B_cell
7.51977349890332e-33,-0.710124884853524,0.109,0.188,1.68773796409386e-28,BPTF,B_cell
7.97621643231271e-33,-1.30785131013182,0.043,0.1,1.79018201606827e-28,GPATCH8,B_cell
8.02253571221155e-33,-0.937210164040422,0.073,0.141,1.80057791524876e-28,SRRT,B_cell
8.77800345836299e-33,-1.04855546454661,0.056,0.117,1.97013509619499e-28,DAXX,B_cell
9.11677604869591e-33,-0.300468634850472,0.222,0.334,2.04616921636931e-28,OXA1L,B_cell
9.28292582947987e-33,-0.656180552640025,0.088,0.161,2.08345987316846e-28,SMARCA5,B_cell
9.57787808609231e-33,-0.953327188008837,0.069,0.135,2.14965895764256e-28,FIP1L1,B_cell
9.86245825004973e-33,-1.19961293635575,0.048,0.107,2.21353012964116e-28,EDEM3,B_cell
1.03162301045972e-32,-0.173943474620185,0.845,0.881,2.31537468467579e-28,PFDN5,B_cell
1.14174928952368e-32,-0.899953976955752,0.079,0.148,2.56254210540695e-28,LAIR1,B_cell
1.21123381716413e-32,-0.36530619137023,0.111,0.193,2.71849317924317e-28,CHCHD7,B_cell
1.22311623242214e-32,-0.579596502979436,0.093,0.168,2.74516207204825e-28,COPA,B_cell
1.26350998134006e-32,-0.990641744975362,0.122,0.198,2.83582180211962e-28,CDKN1A,B_cell
1.35893740581693e-32,-0.539726520882251,0.147,0.235,3.04999911361552e-28,EIF5B,B_cell
1.41704594812573e-32,-0.743954811716893,0.069,0.137,3.18041792597339e-28,PRRC2B,B_cell
1.48883126784353e-32,-0.520322891825638,0.109,0.188,3.34153289754802e-28,METTL23,B_cell
1.59679992315395e-32,-0.791247143362084,0.091,0.165,3.58385774752672e-28,BRD4,B_cell
1.62136112355216e-32,-0.555003146639618,0.1,0.178,3.63898290570047e-28,WBP11,B_cell
1.67290254281588e-32,-1.14865854853383,0.044,0.102,3.75466246709596e-28,DCAF5,B_cell
1.69697047732906e-32,-0.978810401494722,0.057,0.119,3.80868053931734e-28,B3GNT2,B_cell
1.70760613411192e-32,-1.02919239795729,0.046,0.105,3.83255120740079e-28,MAN1B1,B_cell
1.96285714544407e-32,-0.706901785652297,0.058,0.121,4.40543657723467e-28,PLIN3,B_cell
2.02164976082012e-32,-0.555979828887412,0.113,0.195,4.53739072318467e-28,WAC,B_cell
2.14692098226949e-32,-0.327656193206267,0.16,0.256,4.81854945260565e-28,CCT6A,B_cell
2.16137433306579e-32,-0.482915148950828,0.122,0.206,4.85098855313287e-28,DENR,B_cell
2.34955571341935e-32,-0.483109139808312,0.151,0.243,5.27334284319839e-28,BCAS2,B_cell
2.45568894311843e-32,-0.356470196465576,0.154,0.248,5.511548263935e-28,CCT7,B_cell
2.46568948183126e-32,-0.214929662914464,0.282,0.41,5.53399347302207e-28,UFC1,B_cell
2.4908095613807e-32,-0.737815111512275,0.07,0.136,5.59037297956285e-28,PPIE,B_cell
2.9242990675971e-32,0.863420242368618,0.407,0.377,6.56329682731494e-28,DYNLRB1,B_cell
3.23295180351043e-32,0.974448271289266,0.126,0.074,7.25603702779882e-28,PHACTR1,B_cell
3.32560726901259e-32,-0.704522902532883,0.088,0.16,7.46399295457186e-28,SREK1,B_cell
3.39441527901005e-32,-0.426026628549868,0.128,0.214,7.61842565221015e-28,RAB10,B_cell
3.45630089793897e-32,-0.279813438684339,0.375,0.512,7.75732173533423e-28,HNRNPC,B_cell
4.00322090716987e-32,-1.15524784962049,0.065,0.128,8.98482900405205e-28,MAP4K1,B_cell
4.0917588292818e-32,-0.285096167968335,0.236,0.349,9.18354351644007e-28,TECR,B_cell
4.15433770170045e-32,-0.164419537126047,0.859,0.891,9.32399553769649e-28,GNB2L1,B_cell
4.31235020927481e-32,-0.464286033086598,0.13,0.215,9.67863880969638e-28,KHDRBS1,B_cell
4.32352911492889e-32,-0.823660088058383,0.069,0.135,9.70372874554639e-28,SMARCA2,B_cell
5.08210256607262e-32,-0.769495849903151,0.093,0.165,1.14062709992934e-27,CENPC,B_cell
5.93984772810083e-32,-0.823831910528655,0.077,0.145,1.33313942409495e-27,RNF115,B_cell
6.10311541546589e-32,-0.578228477659942,0.116,0.196,1.36978322384717e-27,NR1H2,B_cell
6.2253118196711e-32,-0.590022502093181,0.145,0.232,1.39720898480698e-27,JMJD1C,B_cell
6.26888394998863e-32,-1.00521197379994,0.072,0.137,1.40698831373545e-27,CBLB,B_cell
6.56347404361538e-32,-0.51719325797513,0.096,0.172,1.47310611434904e-27,SHARPIN,B_cell
6.9179687003371e-32,-0.797538494958864,0.081,0.151,1.55266889510366e-27,YPEL3,B_cell
7.11503617401681e-32,-0.704211541021158,0.066,0.13,1.59689871889633e-27,ZNF32,B_cell
7.1514306945805e-32,-0.891317144936356,0.064,0.128,1.60506710509165e-27,USP33,B_cell
7.31039324819141e-32,1.27215405991219,0.218,0.162,1.64074466062408e-27,ZSCAN16-AS1,B_cell
7.37540488437303e-32,-0.997594151668364,0.045,0.102,1.65533587224868e-27,SMC1A,B_cell
7.53834194980691e-32,-0.930868154198772,0.07,0.135,1.69190546721466e-27,ZFC3H1,B_cell
7.70116979737753e-32,-0.889327630994055,0.045,0.103,1.72845054932341e-27,MBD2,B_cell
8.68890319695806e-32,-0.370239748994157,0.098,0.175,1.95013743352527e-27,TPGS1,B_cell
9.91905723509911e-32,-0.548503851909305,0.085,0.157,2.22623320584564e-27,PHF5A,B_cell
1.02167837931864e-31,-0.786503701160294,0.06,0.123,2.29305495454275e-27,RABIF,B_cell
1.03667651548677e-31,-0.797248843689201,0.061,0.125,2.3267167713585e-27,FYTTD1,B_cell
1.07330795512399e-31,-0.842552568452874,0.074,0.141,2.40893237448029e-27,TAZ,B_cell
1.26277533211468e-31,-0.678215517757069,0.108,0.185,2.83417295539818e-27,PHYKPL,B_cell
1.30060357240067e-31,0.643186656602794,0.494,0.475,2.91907465789606e-27,ST13,B_cell
1.3372469859964e-31,-0.256114264190143,0.175,0.275,3.00131713537033e-27,PIN1,B_cell
1.50295895174166e-31,-1.15708663159552,0.051,0.11,3.37324107128898e-27,AP000769.1,B_cell
1.51420418059528e-31,-0.836016557184151,0.045,0.102,3.39847986292804e-27,PRPF19,B_cell
1.54692581344433e-31,-0.826645807521139,0.045,0.102,3.47192029569445e-27,EMC8,B_cell
1.55070817031583e-31,-0.932270902275649,0.057,0.119,3.48040941745686e-27,PRPF38A,B_cell
1.56418493360006e-31,-0.493414473133548,0.152,0.241,3.51065666497198e-27,LAP3,B_cell
1.66282786077472e-31,-0.567723952515449,0.111,0.189,3.73205085072277e-27,UHMK1,B_cell
1.67112723459497e-31,-0.655829589651362,0.119,0.196,3.75067796532494e-27,ZNF331,B_cell
1.79738920412528e-31,-0.868805226669841,0.056,0.117,4.03406032973877e-27,RRBP1,B_cell
1.88674502629219e-31,-0.845091919083579,0.051,0.11,4.2346105370102e-27,WDR26,B_cell
1.94901468260877e-31,-0.555816766985431,0.077,0.146,4.37436855364712e-27,DNAJC3,B_cell
1.99364483301255e-31,-0.656681853462619,0.065,0.129,4.47453646321336e-27,ETF1,B_cell
