p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type,comparison
0.489068625436402,-1.12465942307892,0,0.125,1,TUBA1C,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.834974280517504,0,0.125,1,CERS5,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.773386953001844,0,0.125,1,SARNP,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.73985815387676,0,0.125,1,DDIT3,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.20892250857327,0,0.125,1,DCTN2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.909728720423714,0,0.125,1,AVIL,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.859269034971689,0,0.125,1,GNS,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.991389884981731,0,0.125,1,CCT2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.49014649028575,0,0.125,1,CCDC59,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.655488942180434,0,0.125,1,CEP290,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.64689463722577,0,0.125,1,TMPO,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.720174085904006,0,0.125,1,OAS2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.10079491838949,0,0.125,1,FBXO21,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.03514436404401,0,0.125,1,TMEM120B,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.30891055506374,0,0.125,1,CLIP1,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.34747723420988,0,0.125,1,DDX55,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.767970330966664,0,0.125,1,CCDC92,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.874880523590956,0,0.125,1,BRI3BP,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.888975736677253,0,0.125,1,EP400,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.65405857744506,0,0.125,1,MICU2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-2.15825953094571,0,0.125,1,MTMR6,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.814995146109142,0,0.125,1,NUP58,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.785221960339112,0,0.125,1,N4BP2L1,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.24074974264829,0,0.125,1,PDS5B,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.22220697200662,0,0.125,1,SUCLA2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.49523109769139,0,0.125,1,TRIM13,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.933724551714281,0,0.125,1,GPR183,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.77391644254609,0,0.125,1,ANKRD10,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.44495140486802,0,0.125,1,ARHGEF7,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.976804865173446,0,0.125,1,CHD8,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.19239431601354,0,0.125,1,METTL3,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-2.02895756110377,0,0.125,1,OXA1L,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.933927657775809,0,0.125,1,ACIN1,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.18622601694227,0,0.125,1,CIDEB,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.875465135666855,0,0.125,1,MAPK1IP1L,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.91277251323989,0,0.125,1,ATG14,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.847220639248403,0,0.125,1,GPR135,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.873177320218184,0,0.125,1,PLEK2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.721616775962894,0,0.125,1,SIPA1L1,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.44858225323859,0,0.125,1,NUMB,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.59794747109979,0,0.125,1,NEK9,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.94817813086429,0,0.125,1,VASH1,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.788360391106987,0,0.125,1,GPR65,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.20150864941036,0,0.125,1,ZC3H14,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.40608910597721,0,0.125,1,PSMC1,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.36613941765542,0,0.125,1,DGLUCY,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.61664009852747,0,0.125,1,CPSF2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.47872727132068,0,0.125,1,MARK3,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.05792662378316,0,0.125,1,INF2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-2.04872730364685,0,0.125,1,NIPA2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.754199234189952,0,0.125,1,KLF13,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.5069867188615,0,0.125,1,MGA,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.29139294645537,0,0.125,1,LRRC57,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.23535089110216,0,0.125,1,COPS2,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.42205627683887,0,0.125,1,TRPM7,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.40623845649939,0,0.125,1,RFX7,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.51574856456412,0,0.125,1,ZNF609,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-0.886456636263963,0,0.125,1,MAP2K1,Dendritic_cell,unin_hto_vs_unin3
0.489068625436402,-1.63324772295525,0,0.125,1,SNUPN,Dendritic_cell,unin_hto_vs_unin3
