p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type,comparison
7.75678173713192e-15,-0.185467835111399,0.157,0.325,1.60030164018769e-10,ERLEC1,Alveolar_Macrophage,unin_hto_vs_unin3
8.18190439301785e-15,-0.419447288007258,0.051,0.156,1.68800869532351e-10,RAD17,Alveolar_Macrophage,unin_hto_vs_unin3
8.27346335705965e-15,-0.205956024440954,0.763,0.969,1.70689822519498e-10,RPL29,Alveolar_Macrophage,unin_hto_vs_unin3
8.33671895830405e-15,-0.189295336049377,0.107,0.248,1.71994848828771e-10,MYB,Alveolar_Macrophage,unin_hto_vs_unin3
8.52121144398618e-15,-0.10538953971988,0.121,0.267,1.75801113300879e-10,CUL3,Alveolar_Macrophage,unin_hto_vs_unin3
8.77174722371998e-15,-0.136317313429617,0.123,0.269,1.80969916972567e-10,RRM2B,Alveolar_Macrophage,unin_hto_vs_unin3
1.00187672993677e-14,-1.22733344253715,0.028,0.115,2.06697188153256e-10,KNSTRN,Alveolar_Macrophage,unin_hto_vs_unin3
1.04807801212671e-14,-0.121891254868095,0.296,0.535,2.16228974681861e-10,SLC25A24,Alveolar_Macrophage,unin_hto_vs_unin3
1.06471791247071e-14,-0.116336842045483,0.514,0.82,2.19661952521833e-10,GUK1,Alveolar_Macrophage,unin_hto_vs_unin3
1.16190880819897e-14,-0.162882546637981,0.088,0.216,2.3971340621953e-10,EIF2B1,Alveolar_Macrophage,unin_hto_vs_unin3
1.16230387136593e-14,0.130793337535819,0.236,0.454,2.39794911701505e-10,APPL1,Alveolar_Macrophage,unin_hto_vs_unin3
1.19140849444053e-14,0.101277421142999,0.125,0.277,2.45799486488026e-10,TTF1,Alveolar_Macrophage,unin_hto_vs_unin3
1.19167459230077e-14,0.874943955313444,0.631,0.732,2.45854385137572e-10,SCAF11,Alveolar_Macrophage,unin_hto_vs_unin3
1.22137577120467e-14,3.0810111310206,0.107,0.04,2.51982035357235e-10,EVA1B,Alveolar_Macrophage,unin_hto_vs_unin3
1.23264448348089e-14,-0.252503557814737,0.063,0.175,2.54306883386943e-10,TSPAN15,Alveolar_Macrophage,unin_hto_vs_unin3
1.27221276824961e-14,-0.21636178429827,0.089,0.219,2.62470216217578e-10,MMADHC,Alveolar_Macrophage,unin_hto_vs_unin3
1.28114740044866e-14,-0.310083240265741,0.068,0.182,2.64313520186563e-10,PRPSAP1,Alveolar_Macrophage,unin_hto_vs_unin3
1.37883198311592e-14,-0.254253073176078,0.122,0.267,2.84466826436646e-10,MAT2B,Alveolar_Macrophage,unin_hto_vs_unin3
1.40606510280875e-14,-0.281278693542457,0.104,0.238,2.90085291360474e-10,CYTIP,Alveolar_Macrophage,unin_hto_vs_unin3
1.46468691009036e-14,-0.637818606613414,0.066,0.177,3.02179556420742e-10,TATDN1,Alveolar_Macrophage,unin_hto_vs_unin3
1.47329519095259e-14,-0.175293591051266,0.702,0.945,3.0395553084543e-10,TKT,Alveolar_Macrophage,unin_hto_vs_unin3
1.538617514355e-14,-0.146061057072051,0.111,0.252,3.1743217938658e-10,ACLY,Alveolar_Macrophage,unin_hto_vs_unin3
1.54484340713605e-14,-0.184334097892307,0.587,0.895,3.18716643326239e-10,C1orf162,Alveolar_Macrophage,unin_hto_vs_unin3
1.62064977008575e-14,-1.10765572530629,0.034,0.126,3.3435625406639e-10,ABHD11,Alveolar_Macrophage,unin_hto_vs_unin3
1.6245392182628e-14,-0.300243579161075,0.073,0.192,3.35158686119798e-10,ENOPH1,Alveolar_Macrophage,unin_hto_vs_unin3
1.62842995341661e-14,-0.147971723412631,0.12,0.263,3.3596138368938e-10,RRAS,Alveolar_Macrophage,unin_hto_vs_unin3
1.65413061454656e-14,-0.216114093336806,0.137,0.29,3.412636870871e-10,ADPRH,Alveolar_Macrophage,unin_hto_vs_unin3
1.66327303399162e-14,-0.380570358187289,0.061,0.172,3.43149859642811e-10,ANKMY2,Alveolar_Macrophage,unin_hto_vs_unin3
1.74962519313664e-14,-0.380605068967348,0.102,0.235,3.60965173596021e-10,DCTD,Alveolar_Macrophage,unin_hto_vs_unin3
1.78029838688614e-14,0.105572042336883,0.277,0.521,3.67293360198479e-10,RAB1B,Alveolar_Macrophage,unin_hto_vs_unin3
1.78945864707829e-14,-0.416542755844497,0.056,0.162,3.69183213478722e-10,RTL8A,Alveolar_Macrophage,unin_hto_vs_unin3
1.83752228788302e-14,-0.136294632291028,0.082,0.206,3.79099223213146e-10,VPS26C,Alveolar_Macrophage,unin_hto_vs_unin3
1.85639079824366e-14,0.120531378390596,0.171,0.346,3.82991985585649e-10,UBE2J1,Alveolar_Macrophage,unin_hto_vs_unin3
1.88451299153063e-14,-0.512287262092657,0.062,0.173,3.88793875282685e-10,MRPL2,Alveolar_Macrophage,unin_hto_vs_unin3
1.92450454047071e-14,0.130704689289249,0.248,0.471,3.97044531744513e-10,FGL2,Alveolar_Macrophage,unin_hto_vs_unin3
1.92731948949712e-14,-0.211844030402039,0.068,0.18,3.9762528387815e-10,SIRT2,Alveolar_Macrophage,unin_hto_vs_unin3
2.0015694442259e-14,-0.863066368987019,0.048,0.147,4.12943792038245e-10,CFP,Alveolar_Macrophage,unin_hto_vs_unin3
2.03563650736677e-14,-0.100012842777844,0.142,0.3,4.19972167834839e-10,MRPL23,Alveolar_Macrophage,unin_hto_vs_unin3
2.0378130670628e-14,-0.490422058764921,0.05,0.152,4.20421213865726e-10,SLC35C1,Alveolar_Macrophage,unin_hto_vs_unin3
2.08394590426752e-14,-0.524368397413664,0.033,0.124,4.29938879509432e-10,TACO1,Alveolar_Macrophage,unin_hto_vs_unin3
2.09369640114704e-14,-0.122736182222744,0.116,0.257,4.31950504520646e-10,MRTO4,Alveolar_Macrophage,unin_hto_vs_unin3
2.13427599742409e-14,-0.723917038925685,0.033,0.124,4.40322481028564e-10,INO80C,Alveolar_Macrophage,unin_hto_vs_unin3
2.24897804236989e-14,0.674544843804957,0.783,0.894,4.63986659921333e-10,EVL,Alveolar_Macrophage,unin_hto_vs_unin3
2.28105754168241e-14,-0.801664280875776,0.035,0.126,4.70604981424499e-10,C11orf1,Alveolar_Macrophage,unin_hto_vs_unin3
2.29510585784255e-14,1.37580229418875,0.461,0.457,4.73503289531496e-10,MCOLN1,Alveolar_Macrophage,unin_hto_vs_unin3
2.34531216758109e-14,-0.106961920808325,0.186,0.365,4.83861353293655e-10,RANBP2,Alveolar_Macrophage,unin_hto_vs_unin3
2.37821779717408e-14,-0.141993379201379,0.12,0.264,4.90650113734984e-10,CCNQ,Alveolar_Macrophage,unin_hto_vs_unin3
2.3847494423876e-14,-0.349505318552337,0.113,0.251,4.91997657458987e-10,EVI2A,Alveolar_Macrophage,unin_hto_vs_unin3
2.4256544150765e-14,-0.44422045585127,0.05,0.152,5.00436762374433e-10,NT5DC1,Alveolar_Macrophage,unin_hto_vs_unin3
2.44239534546124e-14,-1.02668084119727,0.031,0.119,5.03890583722109e-10,GPKOW,Alveolar_Macrophage,unin_hto_vs_unin3
